xikin nan pvtaq ,abacus
dum tuudurnam ,hair raising
hvvtw manboam benam ,hair splitting
dum sabn bo ,hair dresser
dum mvnbo ,hair dresser
dum tuqlapnam ,hair style
jwwtwnam ,hale
haleluya ,halelujah
papo ,half
yolo ,half
vbw bor ,half brother
nyub luusaq ,half caste
anyi bwrm ,half sister
lamta paponam ,half way
hang jimanam ,half-hearted
otubo lubu ,half pant
papo mood loopo ,half-time
paca bo nyi ,half wit
nyi mwlwg dookum dook ,hall
dvrwq dvb mvnam ,hallow
nyi mwlwg dookum dook ,hallway
doonyiam biug roqnam ,halo
muturnam ,halt
lvpy peekinbo svdinam twqdin nan ,halter
nyinyiaq gvi cengmanam ,halting
koom taxanam ,hallucination n 
mwrpin sunam ,halve
vdin ,ham
anyo bo svdin ,ham ster
nampam,hamlet
kvvny ,hammer
dumpum ,hammer
nyitup nyic ,hamper
alaq ,hand
alaq bvnam cuk ,hand bag
alaq mvnam bool ,hand ball
nyisam tomswrbo kitap ,hand book
nyum mam leennan ,hand cuff
alaq bvvnam mubuq ,hand gun
haxor tixaq nan ,hand kerchief
alaq xeqnam ,hand writing
alaq yumg ,handful
ywrngumnam ,handicap
lvca laqca bo ,handicap
alaqho jem mvnam ,handicraft
alaqg bon nyinam ,handiwork
nal ,handle
kwrw jaqb nyimin gvnam ,hands on
ara ,handsaw
alaq gvqrwqnam ,handshake
kaangamnam ,handsome
alaq nwwdaqnam ,handstand
naadaql dwtwqbo ,hand to mouth
dvdwb kaapal swwtwqnam ,hand to mouth
anyo tvl kaangamnam ,handy
bonam nyisin mingbo ,handy man
paqyinam ,hang
gaqkar yvnam ,hang around
hengaml soomin yvnam ,hang out
jaaj pvvk nam ,hangar
vj haqyin nan ,hanger
mwwpanam ,hangover
svqc maanam ,hang-up
haxor tixaqnan ,hanky
juyis nyi tulug soonam mood ,hanukkah
ayo aconam ,haphazard
pus rvgin ,haphazard
nyinam ,happen
hemp ,happy
sogoql agam benam ,harangue
hengtwr kaanyi dvb mvnam ,harass
iss jaaj doonu ko ,harbor
alar ,hard
ator ,hard
vcjaqb xvvnam ,hard boiled
tejwq talaq maanam ,hard of hearing
cabc jaq nam ,hard and fast
ator dvb mvnam ,harden
anyia kaakin maanam ,hard hearted
kwly dvb mwwma nam ,hardline
nyila eela maanam ,hardly
es axaq looda nam ,hard pressed
vs axaqb nyinam ,hardship
nyidwq-nyiknam ,hardship
twngk nwwnam ,hard up
yoqdwr lvgab mvnam ,hardware
atorbo wsw ,hardwood
atorbo svvda ,hardwood
cwqnam ,hardy
tapa nam ,hark
un mvgnam ,harm
harmonika ,harmonica
tangamnam ,harmonize
jotnam ,harmony
kvtaqnam ,harmony
mvtwrnam ,harness
rwwxw ,harp
harp ,harp
harpis kord ,harpis chord
nwwxo ,harpoon
alman dvb nyinam ,harrowing
vc ,harrowing
kwr kornam ,harsh
dvn naanam ,harvest
vly naanam ,harvest
jurpiq lwqnam,harvest festival
vdin oo xwwdarnam ,hash
vs-axaqnam mood ,hassle
nyebia jaqb ,haste
nyebia jaqb nyinam ,hasty
bopiya ,hat
garlinam ,hatch
vx xwc ,hatchet
oyum ,hate
hang baqnam ,hate
ceebio ,hatred
atam paqsnam ,haughty
vcjaqb punam ,haul
xarpo ,haunch
luuxiam mwwpanam ,haunt
swrsob dook nyook ,haven
vcjaqb mwwdar mwwpar maanam ,havoc
pwm ,hawk
svdin dvnam nwmw ,hay
am piil ,haystack
vs axaq dvb mvnam ,hazard
mwwdar saqpar maanam ,haze
kaadar kaapar maanam ,hazy
mwv ,he
dumpo ,head
otuqcob dumpo ,head on
nyuru tan nan ,head phone
dumc ,headache
dumcwq ,headband mans
dumpo gvnam ,head dress
dumpo pvxwnam ,headfirst
pudum ,headgear
ada ,heading
apo ,heading
iss biqcum ,headland
gaari dumpoho wm baqnam ,headlight
ada ,headline
apo ,headline
dumpo wconam ,headlong
hedmastar ,headmaster
nyigbo ,headmaster
mwlwg dookumko nyook ,headquarters
dumpo wgab dvrwqnam ,headroom
nyuru tan nan ,headset
nyirab coonam ,headstart
atwg mwwkwb wdwb mwwnam ,headstrong
nyil wdunam ,headway
iss jaajam dooi nuutwrnam ,headwind
mwpnam ,heal
jwwtwnam ,health
gv soodin ,health
bobuq ,healthy
paacal apnam ,heap
tanam ,hear
tapanam ,hear
tadar dvb tan nan ,hearing aid
pui tapanam mam hvvbo hvl cengma tanam ,hear say
svma baqn nan gaari ,hearse
hang ,heart
hang duqnyinnam ,heart attack
hoopuq taqcnam ,heart attack
hang duqnam ,heart beat
hang mwwdwqnam ,heart break
hang vcnam ,heart burn
hang vc dvb mvnam ,heart rending
hang ura jaqb abynam ,heart strings
hoopuq taqcnam ,heart stroke
hang juqtwqnam ,heart stroke
hang vc ,heartache
hang mwwdwq dwqnam ,heartbroken
haakamnam ,hearten
hang mwwnam ,heartfelt
imiq ,hearth
anya maanam ,heartless
jvqtw jaqb ,heart to heart
hemp jaqnam ,heartwarming
hvvcwr baqnam ,hearty
og ,heat
doonyi xaanam ,heat stroke
vcjaqb hang lengnam ,heated
og nan ,heater
ui panbo ,heathen
punam ,heave
ao nyook ,heaven
ao lepw ,heaven
ao gvda ,heaven
vinam ,heavy
vcjaqb bon nyinam ,heavy duty
hibru ,hebrew
benyi beya benam ,heckle
bik-sulumnam ,heckle
nyebia jaqb ,hectic
nyvbia jaqb nyinam ,hectic
mvturnam ,hedge
taggab jinjinam ,heed
lvpia lud ,heel
dort bo ,hefty
vi ,hefty
svv hvvdo ,heifer
ao nam ,heighten
ao ,height
otu naady bo ,heir
nyemv otu naanam ,heiress
otu nvvsiq nvvsiqnam ,heirloom
doonam ,held
helikaptar ,helicopter
kiabtar ,helicopter
helikaptar hopko ,heliport
pulu bo dooi ,helium
ui nyook ,hell
swx-ywlw ,hell
swx-tvgw nyook ,hell
vs axaqbo nyook ,hell hole
doongam manbo nyook ,hellish
hallo ,hello
saco dimbio ,helmet
svka ,help
vj gamb ,hem
gvda paponam ,hemisphere
kut gamb ,hemline
omy svvn ,hemlock
gv ui baqnam ,hemoglobin
vcjaqb ui tonam ,hemophilia
namc ui sarnam ,hemorrhage
iirin lengnam ,hemorrhoid
pud svvn ,hemp
roqn ,hen
hoqgab ,hence
soqgv ,henceforth
jvqtw torya bo ,henchman
tamin neenam ,henna
vsin vc ,hepatitis
mwn ,her
pui ,herald
nwmw nwsin dvrab ,herb
nwmw nwsin dvrab mvnbo ,herbalist
nwmw aro dvnbo svdin ,herbivore
svv hvvtw ,herd
svv hvvcam ,herd
tuun mee jak ,herd
si ,here
soq si ,here
koc si ,hereabout
kokwngam ,hereafter
soq kokw ,hereafter
soq nyigam gab ,hereby
abb ann hoqgv nyoqsiqnam ,hereditary
abb ann hoqgv wsiqnam ,heredity
luusaqb mwwjwnam ,heresy
luusaqb mwwjw gvnbo ,heretic
kolwg abb ann nyicwngam nyisiqnam ,heritage
otu,heritance
vp cwkwb swwnbo nyi ,hermit
vp cwkwb swwk nyook ,hermitage
xitor xilo ,hero
xilo-malo ,hero
xikum dvb nyinam ,heroic
duxum twwxum bo dvrab ,heroin
xitor xilo bo nyem ,heroine
lwwpo aaso bo pojab ,heron
tamar naqnam ,herpes
mwnwg ,hers
mwn atgab ,herself
mwwgv ,he's
mwumnam ,hesitant
mwum layil rvmonam ,hesitate
mviyo mvconam ,heterogeneous
nyem nyega kaaby minsnam ,heterosexual
vx lvgab panam ,hew
cuurw rwxbo ,hexagon
kv ,hey
koi jaqb niqtuq lengnam mood ,hey day
jimy jemanam ,hi bernate
jwkwq ,hiccup
jila lo dooka manbo nyi ,hick
kvs tanam ,hiding
jwwdunam ,hiding
kvs ko nyook ,hide out
kvs tvl meegaqnam ,hide and seek
kaac loodanam ,hideous
kvs ,hide
kvs ,hid
ciisnam ,hide
pvvs ,hid
akwg aoho ak doonam ,hierarchy
mwyw mvcnam hoqgv kaacin dvb xeqnam ,hieroglyphic
ao ,high
taasin juqnam ,high jump
kvlas wyw namgub doonbo iskul ,high school
nyixo kokwngam cengnam ,high sight
nyidaq dvb nyima bo ,high strung
nyibo-nyiyiqnam ,highhanded
nyody puutu ,highlands
hvvtw poot gob nyinam ,high-level
pagoq mwlwngam gookinam ,highlight
ui mukumko nyook ,high places
cec ceq jaqnam ,highly
aljaqb mwwj mwwnam ,high-mind
koi jaqnam ,high ness
vcjaqb atornam ,high-powered
vcjaqb ator doonam ,high-spirited
taqtbo lamta ,highway
nootul wgnam ,hi jack
nyum boonam ,hi jack
aob caanam ,hike
vcjaqb mwwnyirnam ,hilarious
hemp pol nyirnam ,hilarity
yorn ,hill
yorn puutu ,hilly
orioq nal ,hilt
mwam ,him
mwwg gab ,himself
langk ,hind
ceeturnam ,hinder
ceeturbo ,hindrance
nyitup nyicnam ,hindrance
hindu ,hindu
India soq dormo ,hinduism
vyap paqyin nan ,hinge
tacin dvb benam ,hint
gvda hoqg rvvyw ,hinterland
kooyu kocw ,hip
dort bo svdin ,hippopotamus
ree goqnam ,hire
mwwg ,his
jes-japeqnam ,hiss
tob-tai ,hiss
xixum ,hiss
gon xeqn bo ,historian
mwlwngv cimpwnam gon ,historic
gonho dvqgwnam ,historical
gon ,history
jwwnam ,hit
mvpel keleqnam ,hit and run
ajin jenam ,hit it off
vcjaqb kitap poorynam ,hit the books
haqma paqb vs-axaqnam ,hitch
oso lvgab roqtunam ,hitch
tong ayap ,hive
huburnam ,hives
ciql pvvcum apnam ,hoard
lwswqnam ,hoarse
akaml dumpunam ,hoary
gwwyw ywdumnam ,hoax
lvcanam ,hobble
wlaq maanam ,hobble
atwg nyibwqnam ,hobby
gaqgaql yvnbo ,ho bo
svdin lupiup ,hock
hoki ,hockey
kaadar tapar maadwb mviyo mvconam ,hodge podge
gaiti ,hoe
dortbo irriq ,hog
kaac bo nyi ,hog
joorabnam ,hoist
doonam ,hold
bwwl doognam ,hold
nootul doogbo ,holder
mubuq hwggab tvl naareqnam ,hold up
ung ,hole
vrr aal ,holiday
doonu aal ,holiday
dvrwqbo ,holiness
raroqnam ,hollow
twryumnam ,holocaust
xee baqn nan ,holster
dvrwq ,holy
dvrwq-kwrwqbo ,holy of holy
swr sa dvnam ,holy communion
dvrwqbo yal ,holy ghost
dvrwqbo dook ,holy places
dvrwqbo wrw ,holy places
dvrwqbo ramaq ,holy places
modunam ,homage
imiq ,home
nam ,home
nvmrw hoq mvlinam ,home grown
ko bwwk nvmcw ,home land
nyook ,home land
imiq dooma bo ,home less
imiq hoq mvnam ,home made
imiqkam swwg geegbo ,home maker
imiq dvpar hvb dookumnam ,home room
nam mam senganam ,home sick
binriq taknam ,home stretch
nvmrwb hookurnam ,home coming
kaac tayabo ,homely
nammwb wknam ,home ward
namho bon nyinam ,home work
hemp hvnyirnam ,homey
nyi mengnbo ,homicide
hoggub nyij mujv nyitayin ham aado jaqb agam goonam ,homily
namho pukum soonam ,homing pigeon
dvpar parkinam ,homogeneous
luukin gob mvnam ,homogenize
yal dunamv akin hvbmab niqtuqkv asaqnam ,homonym
nyega orumv naamin sunam mam ceebionam ,homophobia
yalv akin hvbmab niqtuqkv asaq ,homophone
nyega orumv nyixw nyol naamin sunam ,homosexual
pwreqnam ,hone
jvqtw ,honest
jvqtwjaqb ,honestly
ngola ,honey
tong ngola ,honey bee
tong aiyap ,honey comb
helapbo gums ,honey dew
nyem nyega naalayil gaql yvnam ,honey moon
svdin sogoqnam ,honk
modunam ,honor
nyi xikum ,honor
koibo ,honorable
xinam ,honorable
gaari dumpo pulup nan ,hood
nyijwr yaapa tvl nyi mengaq bo ,hoodlum
anya bo ajin ,hood natured
lupup ,hoof
luc ,hoof
haqgab nan ,hook
took ,hook
gaml jinam mam bon nyik ho haamanam ,hooky
tvsw ,hoop
sogoql loomanam ,hoot
juqyin juqrabnam ,hop
mwwgw ,hope
mwwgw cwcwnam ,hopeful
mwwgw maanam ,hopeless
nyomanam ,hopping
nyi vcjaqb jaqtnam ,horde
kede la doonyiv wrwq mins tanam ,horizon
haapa ,horizontal
vrw ,horn
pvga ,hornbill
poi ,hornbill small
tvi budum burum ,hornet
takar toloqkv nyi swwi swwcangam kaan nan ,horoscope
lomdwb nyinam ,horrendous
kaac looda dvb nyinam ,horrible
bos mvdwb nyinam ,horrify
koor-kaaraqnam ,horror
svpur ,horse
opu aaxy svvn pagoq ,horticulture
iss baqnan upum ,hose
siriq tanbo nyingam pvvk ,hospice
svgagvrwqnam ,hospitable
vc bog namlo ,hospital
hospital ,hospital
hoopu haabia ,hospitality
hospitol ho baqanam ,hospitalize
lwrw ,host
nyum leepnam ,hostage
hostel ,hostel
lwrw dvn ,hostess
nyemaq ,hostile
ceebio ,hostile
nyemaqb nyimin sunam ,hostility
og ,hot
dwqnam ,hot
hog doomab agam goonam ,hot air
almanam ,hot bed
mwwmab bon nyinam ,hot head
hang lenganam ,hot blooded
hotel ,hotel
nyiin namlo ,hotel
nwwteqnam ,hotly
niqtuq lengta bo nyi ,hotshot
mood ,hour
nam ,house
namlo ,house
tvyw ,house fly
imiq dvpar ,house hold
nam mam kaaya bo ,house keeper
ko nwbw ,house sit
nam dvn ,house wife
nam bon ,house work
nam nyis ,house work
jwwgw bog nam ,hovel
dooiho jaal yvnam ,hover
hoggub ,how
hvbjaqkam ,however
svdin oyunam ,howl
sogoqnam ,howl
jakv lvkin gob dookumnam ,huddle
mwlwngv sogoql xabnam ,hue and cry
hang lengnam mam kaapanam ,huff
hang lengnum ,huffy
cegapnam ,hug
koi jaqnam ,huge
haqpaqnam ,hulk
cooikab liinam ,hum
nyi ,human
nyia ko ,human being
anya mwwpanam ,humane
nyiingam mwwjw twqnbo ,humanism
nyi algab bon nyinbo ,humanitarian
nyi mwwlaq hoqgv twq ,humanly
nyinyiaqnam ,humble
yanam ,humble
jaamanam ,humdrum
iss vcjaq doonam ,humid
hvnyw har dvb nyinam ,humiliate
anyob mwwsnam ,humility
ab ten pvta ,humming bird
binyir bemarbo ,humor
kuyum swwgab mwwnam ,hunch
lwwg ,hundred
kano bo ,hunger
kanonam ,hungry
pwt jaqnbo ,hunk
nyora wnam ,hunt
nyora gaqnam ,hunt
nyora wkybo ,hunter
nyora gaqkybo ,hunter
vs-axaqnam ,hurdle
vcjaqb hurpaqnam ,hurl
vcjaqb doogum tayam wnam ,hurricane
svt iss ,hurricane
nyebia ,hurry
un gvnam ,hurt
mwurnam ,hurt
nyebia jaqb juqnam ,hurtle
nyol ,husband
cooi kab doonam ,hush
vcjaqb kvsnam ,hush hush
amp ,husk
lwwswq poponam ,husky
nyebia jaqb wnam ,hustle
podo nomcum ,hut
mviyo mvco layil aldvb mvlinam ,hybrid
iss lvgab wm mvlinam ,hydroelectric
wm parnan dooi ,hydrogen
dooi lvgab mvnam bom ,hydrogen bomb
iky hvb nyinbo svdin ,hyena
dvrwqnam pagoq ,hygiene
bemin ,hymn
luusaq jaqb coxnam ,hyper active
gv ui ognam ,hypertension
os lvgab simeq dvb mvnam ,hypnosis
danyib at swwgab mwwdwqnam ,hypochondria
gwwywnam ,hypocrisy
gwwyw bo ,hypocrite
kaak-takdvb nyinbo ,hypocrite
mwwjwq mwwtaql benam ,hypothesis
mwwsam coonam ,hypothetical
nvp nvram peexanam ,hysterectomy
nyo gaqnam ,hysteria
nyirdu twql doonam ,hysterics
xobdu twql doonam ,hysterics
ngo ,i
ngo ,i am
tapam ,ice
tapam puutu ,ice berge
tapam uddum ,ice box
tapam mudubnam ,ice breaker
puutungam tapam yoqlupnam ,ice cap
tapam hoki ,ice-hockey
mwwj ,idea
luusaq loodab mwwnam ,ideal
mwwjw layil swwnam ,idealism
kvtaq dvb mwwd nvbo mwwnam ,idealize
kvtaq looda ,ideally
mwwj ak mwwmnam ,ideology
koop tolupnam ,identical
kaacinam ,identification
kaalaqnam ,identify
kaacin nan ,identity
lok lokub pacanam ,idiocy
niitin tinam ,idiom
paca looda ,idiot
jaama ,idle
sepy ,idle
murt ,idol
apa taca ,idol
abb tenyi ,idol
hvb ,if
hvb panyiloqkam,if it happen
hvbnyiloqkam ,if that is so
hvbnyiba loqkam ,if you do that
hendar maanam ,iffy
wm nootunam ,ignite
hog cengma bo ,ignorance
cengma bo ,ignorant
axanam ,ignore
cengmanam ,ignore
pvvbwb nyimanam ,illegal
vc ,ill
nyinyi nyiyanam ,ill treat
poory reelaq maanam ,illegible
yos ko ,illegitimate
poory reelaq xeqlaq manbo ,illiterate
hang almanbo mood ,ill humor
pvvbv loomanam ,illicit
vcnam ,illness
mwwxaqnam ,illogical
bedarnam ,illuminate
huto jinam ,illuminate
koom kaaxanam ,illusion
dooyw dooc ,illustrate
dooc cinam ,illustration
yuupwnam ,illustrious
ceebiob mwwnam ,ill will
guss ,image
mwwyw mvcnam ,image
mwwyw mwwcnam ,imagery
mwo dvb nyinam ,imaginable
mwwsamnam ,imaginary
mwonam ,imagine
mwwsam ,imagine
jot maanam ,imbalance
pacabo nyi ,imbecile
nyimin gvnam ,imitate
nyi nyikub nyiba bo ,imitation
dvrwqnam ,immaculate
hvvtw maanam ,immaterial
vjwnam ,immature
xila nyomanam ,immeasurable
nyebia jaqb ,immediate
sija da ,immediately
koijaq ,immense
iss ho swwbiamnam ,immerse
iss ho twlwqnam ,immersion
nyoogy gianam ,immigrant
nyoodo nyok ho nyoogy gial doonam ,immigrate
kvxaq keeram ,imminent
nyiky tai ,imminent
biima tamabo dvrab ,immobile
biim tam mvma dvb mvnam ,immobilize
koojup maanam ,immodest
kvtaq maanam ,immoral
nyixiqnam ,immoral
yos dvconam ,immorality
nywywngam sima bo ,immortal
vcam mvturl doognam ,immune
vc mvma dvb biij naanam ,immunize
nyoqnam ,impact
lanyi maanam ,impair
nwqyoq nwqcoqnam ,impale
jinam ,impart
mwwsw maanam ,impartial
wpeq mvmanam ,impassable
wpeq lamanam ,impasse
modu maanam ,impertinent
ximanam ,impertinent
saqdaq ho nyinam ,impetuous
nwwteq tvl nyimnam ,impetus
kaacin dvb nyinam ,impinge
gwwl gwleqbo ,impish
nyic bo ,imposh
mvtur nyomanam ,implacable
mwwpaq lamanam ,implant
nyigw nan ,implement
nyiba boam kaakinam ,implicate
niqtuq nyilin tanam ,implication
toloq boloqb bekarnam ,implicit
nyebia jaqb svka konam ,implore
kaacin dvb nyinam ,imply
dvr rvanam ,import
hvvtw poot ,important
nwwteq tvl nyimnam ,impose
nyila looda maanam ,impossible
gwwyw bo ,impostor
amiaq raamanam ,impotent
laanyi maanam ,impotent
naareqnam ,impound
jwwgw dvb mvnam ,impoverish
nyijwq lamanam ,impracticable
nyila maanam ,impractical
hvvmanam ,imprecise
ator jaqb guugabnam ,impregnable
jumswqnam ,impregnate
ko gvmnam ,impregnate
biwr ,impress
nyiywrnam ,impress
mwwgngam dvb benam ,impression
tagga alabo ,impressionable
hwrcw dvb mvnam ,impressive
muxnam ,imprint
pvtwq lwqnam ,imprison
mwumnam ,improbable
haqma paqb nyinam ,impromptu
loomanam ,improper
swwrabnam ,improve
swwdunam ,improvement
mwx mvaqmab nyinam ,improvise
modu maanam ,impudent
haqma paqb nyinwnam ,impulse
haqma paqb nyinwnam mam nyinam ,impulsive
laqm bvqnw maanam ,impunity
loodwr maanam ,impure
nyilaq maanam ,inability
wc lamanam ,in accessible
kvtaq maanam ,in acurate
jot maanam ,in adequate
nyidum jimanam ,in advertent
naapaq nyomanam ,in alienable
mwwlaq maanam ,inane
swwmanam ,in animate
nyila maanam ,in applicable
kvtaq maanam ,in appropriate
tvbw dvb goomanam ,in articulate
hoqgv jaq ,in as much as
tapa maanam ,in audible
mvkonam ,inaugural
mvko kunam ,inaugurate
nudunam ,in born
ko bwwtaqnam ,inbred
hog nyila maanam ,in capable
pvtwq lwqnam ,in carcerate
gwwlynam ,incarnation
gwwinam ,incarnation
hang biluqnam ,incendiary
wm gurab mvnam ,incendiary
hang lengdwb mvnam ,incense
swlum ,incense
haakaml bon nyimdvb mvnam ,incentive
nyitwr doomanam ,incessant
anyi bwrm naanam ,incest
haqg ,inch
hog nyidunam ,incidence
hog ak nyinam ,incident
nyiduml nyimanam ,incidental
nyitaql wnam ,incidentally
wm yvqtwrnam ,incinerate
xvwr pwjwrnam ,incinerator
nyirab xiqnam ,incipient
peekoqnam ,incision
kaadwr jaqnam ,incisive
vxy xiiy ,incisor
rwlwqnam ,incite
doogum tayam bioqnam ,inclement
hog aby jaqnam ,inclination
yeedaqnam ,incline
xitaqnam ,include
mwlwngam xitaqnam ,inclusive
kvsnam ,incognito
ayo aconam ,incoherent
door tikumnam ,income
nookumnam ,income
hoodunam ,incoming
luusaq loodanam ,incomparable
asaqnam ,incompatible
nyilaq maanam ,incompetent
mwwc lamanam ,incomprehensible
mwwjw lamanam ,inconceivable
mwumnam ,inconclusive
dook maanam ,incongruous
rvvswnam ,inconsiderate
pvvb ho doomanam ,inconsistent
vcjaqb mwwdwqnam ,inconsolable
kaapa maanam ,inconspicuous
sidiq diqkynam ,incontinent
vs-axaqnam ,inconvenience
vs axaq dvb nyinam ,inconvenient
lvkin gob nyinam ,incorporate
koinam ,increase
mwwjw lamanam ,incredible
mwwjw maanam ,incredulous
vbwnam ,increment
nyimur panbo hvb mwwmnam ,incriminate
gubnam ,incubate
alaq mvnam hoqgv og mvnam ,incubator
oppis sam doogbo ,incumbent
atv goqanam ,incur
mwp lamanam ,incurable
haqma paqb nyinam ,incursion
paqnam ,indebted
twngk ceenam ,indebted
kvtaq maanam ,indecent
pvvb mwbwq maanam ,indecision
pvvb doomanam ,indecisive
jvqtwjaqb ,indeed
ceetur lamanam ,indefensible
goola maanam ,indefinable
mood pvvr maanam ,indefinite
mepaq (mwwpaq lama nam) ,indelible
ceetur doognam ,indemnity
nyi asaqg uraho dook maanam ,independence
saqsur aal,independence day
nyiig uraho dook maanam ,independent
gootam lamanam ,indescribable
kosumnam ,index
kaakinam ,indicate
ciqkinam ,indicate
muxul kaakinam ,indicator
nyimur panbo hvl gorgy tulwqnam ,indict
anam acamnam ,indifference
atwg nyicw wcw ,indigenous
nyiaqmanam ,indigestion
nyimur pan hvl hang lengnam ,indignant
benyi beyanam ,indignity
toloq boloq benam ,indirect
hang mwwdil bema nyimanam ,indiscreet
looma dvb benam nyinam ,indiscretion
hingkib pvvb mvmanam ,indiscriminate
vc tvl hog nyila maanam ,indisposed
mwum dooma dvb jvqtwnam ,indisputable
kaadar tadar maanam ,indistinct
kvvbwq lamanam ,indistinguishable
akin ,individual
mwlwngam mwwjw mvnam ,indoctrinate
jaama ,indolent
svpynam ,indolent
ator jaqb mwwnam ,indomitable
nam ura ,indoor
pwqnam ,induce
nitib vlwqnam ,induction
nyiipv nyic nyidunam ,indulge
dupum dvrap mvlinko ,industry
twwyaqnam ,inebriated
dvmanam ,inedible
osuqnam ,ineffective
laanyi maanam ,ineffectual
nyilaq maanam ,inefficient
nyila maanam ,ineligible
nyisam nyiyamnam ,inept
homyin maanam ,inequality
huqlw doomanam ,inert
ator dook maanam ,inertia
apa lamanam ,inescapable
keleq lamanam ,inescapable
nyiky tayin ,inevitable
apaq lamanam ,inexcusable
xoomanam ,inexhaustible
kwly lamanam ,inexorable
kor anyonam ,inexpensive
cengnyi maanam ,inexplicable
agam goonyi maanam ,inexpressible
apaq nyomanam ,inextricable
nywywngam nyixiaq maan bo ,infallible
nyicwg ab ,infamous
nyic gab yuunam ,infamy
ko hoyin ,infancy
mama ko ,infant
sipai lvpiab wl nyob panbo ,infantry
abil vcnam ,infatuated
nyoqmnam ,infect
nyoqsiqnam ,infection
jvqtwngam mwwjwnam ,infer
ximanam ,inferior
al looda maanam ,infernal
ui nyook ,inferno
twrngum ,infertile
jaqt jaqg doonam ,infest
yoxinam ,infidelity
bwwxinam ,infidelity
dvqrwq tvl mvmin sunam ,infighting
kvsil haanam ,infiltrate
xila maanam ,infinite
anyo loodanam ,infinitesimal
nyitwr dooma bo ,infinity
ator maanam ,infirm
hospitol ,infirmary
vcjaqb hang lengnam ,inflame
wm yaqganam ,inflammable
lwwcw kurumnam ,inflammation
hang lengnam ,inflammatory
miqburnam ,inflate
guuliam liyi liicanam ,inflect
twrku twrla maanam ,inflexible
un mvgnam ,inflict
nyoqmnam ,influence
oss ,influence
nyoqsiq mvnbo ,influential
vswq nyupum dooi ,influenza
vcjaqb lvkin gob haanam ,influx
bepanam ,inform
nyitin nyinin twqnam ,informal
bepa bo nyi ,informant
pui bepanam ,information
pui dupanam ,informative
doogw nyigwngam Nam mvnam ,infrastructure
lvkin lvkin gob nyinam ,infrequent
pvvb mvpianam ,infringe
vcjaqb hang lengnam ,infuriate
mviyo mvconam ,infuse
ura hoqgv gwwywnam ,ingenious
jvqtwnam ,ingenuous
dvnam twwnam ,ingest
dvvcw ,ingot
ko bwwtaqnam ,ingrained
nudu ,ingrained
nyiv paqdwb nyinam ,ingratiate
paqyaco paqma bo ,ingratitude
mviyo mvconam ,ingredient
nvmcw ,inhabit
nvmcw dook ,inhabitant
svqlwqnam ,inhale
nudu ,inherent
otu ,inherit
otu nvvsiqnam ,inheritance
nootul doognam ,inhibit
svka aby maanam ,inhuman
vcjaqb kornam ,inhumane
nyiib mwwmanam ,inhumanity
luusaq loodanam ,inimitable
nyirab coonam ,initiate
otuqcob nyirabnam ,initiative
nwqlwqnam ,inject
un mvgnam ,injure
jvqtw maanam ,injustice
siya xi ,ink
hingxnam ,inkling
nyookam oj mvnam ,in laid
nyook rvvyw ,in land
"aiyu atu,",in law
duun maqb ,in law
diilwqnam ,in lay
iss biqmnam ,in let
pvtwq tumnam ,in mate
ura ,in
niikum,in
gooya nam ,inn
haara ,in nards
ko bwwtaqnam ,in nate
rvvyw ,inner
rvvyw looda ,inner most
gooya nam rvkybo ,inn keeper
hog cengmanam ,innocent
danyi ,innocent
svswq ,innocent
nyiisam ,innocent
danyib swwnam ,innocuous
nitib nyinam ,innovate
toloq boloq benam ,innuendo
xila maanam ,in numerable
vc aiyam mvtur dvb biji nwqnam ,in oculate
vs axaq doomanam ,in offensive
kvtaq maanam ,in opportune
ayo aconam ,in ordinate
vlwq ,in put
jilwqnam ,in put
pw-hwwlinam ,in quest
hwwgaqnam ,inquire
aado jaqb pw hwwnam ,inquisition
hvnyw bo nyi ,introvert
hvbnyiloqkam ,in that case
rugaqnam ,insane
xumt maanam ,insatiable
xeqnam ,inscribe
topum yorub ,insect
topum yorub mengnam ,insecticide
mwumnam ,insecure
mwwgw maanam ,insecure
mwwcin maanam ,in sensible
mvpin lamanam ,in separable
vlwqnam ,insert
jvblwqnam ,inset
ura ,inside
urw ,inside
kvsil un mvgnam ,insidious
urwngam cengnam ,insight
hvvtw maanam ,insignificant
hvvcwr baqmanam ,in sincere
almab tomswrnam ,insinuate
svswqnam ,insipid
beteqnam ,insist
soq goda gob ,in so far as
modu maanam ,insolent
jiqma bo ,insoluble
dod pwnyi maanam ,insolvent
yumy doomanam ,insomnia
hingkib kaanam ,inspect
hwrcw dvb mvnam ,inspiration
hwrcw ,inspire
nyook ho dooknam ,install
anyo anyob jinam ,installment
jitu jiyul jinam ,installment
anyo ko mood ,instant
nyebia jaqb nyinam ,instantaneous
sija da ,instantly
